word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
hunger	hung	er	h AH NG ER	h AH NG g ER	insertion	g	
ideally	ideal	ly	AY d IY l l IY	AY d IY l IY	elision	l	degemination
illegally	illegal	ly	IH l IY g AH l l IY	IH l IY g AH l IY	elision	l	degemination
imaging	image	ing	IH m AH JH IH NG	IH m IH JH IH NG	mutation	IH	
impartially	impartial	ly	IH m p AA r SH AH l l IY	IH m p AA r SH AH l IY	elision	l	degemination
implementing	implement	ing	IH m p l AH m AH n t IH NG	IH m p l AH m EH n t IH NG	mutation	EH	
incidentally	incidental	ly	IH n s IH d EH n t AH l l IY	IH n s IH d EH n t AH l IY	elision	l	degemination
indebtedness	indebted	ness	IH n d EH t IH d n AH s	IH n d EH t IH d n IH s	mutation	IH	
informally	informal	ly	IH n f AO r m AH l l IY	IH n f AO r m AH l IY	elision	l	degemination
initially	initial	ly	IH n IH SH AH l l IY	IH n IH SH AH l IY	elision	l	degemination
inquiring	inquire	ing	IH n k w AY r IH NG	IH n k w AY ER IH NG	mutation	ER	
intellectually	intellectual	ly	IH n t AH l EH k CH UW AH l l IY	IH n t AH l EH k CH UW AH l IY	elision	l	degemination
intelligently	intelligent	ly	IH n t EH l AH JH AH n t l IY	IH n t EH l IH JH AH n t l IY	mutation	IH	
intentionally	intentional	ly	IH n t EH n SH AH n AH l l IY	IH n t EH n SH AH n AH l IY	elision	l	degemination
interest	inter	est	IH n t ER AH s t	IH n t r AH s t	mutation	r	
internally	internal	ly	IH n t ER n AH l l IY	IH n t ER n AH l IY	elision	l	degemination
internationally	international	ly	IH n t ER n AE SH AH n AH l l IY	IH n t ER n AE SH AH n AH l IY	elision	l	degemination
interpreting	interpret	ing	IH n t ER p r AH t IH NG	IH n t ER p r EH t IH NG	mutation	EH	
joyfully	joyful	ly	JH OY f AH l l IY	JH OY f AH l IY	elision	l	degemination
judiciously	judicious	ly	JH UW d IH SH AH s l IY	JH UW d IH SH IH s l IY	mutation	IH	
kindling	kindle	ing	k IH n d AH l IH NG	k IH n d l IH NG	elision	AH	
largeness	large	ness	l AA r JH n AH s	l AA r JH n IH s	mutation	IH	
lather	lath	er	l AE TH ER	l AE DH ER	mutation	DH	
lawfully	lawful	ly	l AO f AH l l IY	l AO f AH l IY	elision	l	degemination
leader	lead	er	l EH d ER	l IY d ER	mutation	IY	
leading	lead	ing	l EH d IH NG	l IY d IH NG	mutation	IY	
legally	legal	ly	l IY g AH l l IY	l IY g AH l IY	elision	l	degemination
liberally	liberal	ly	l IH b ER AH l l IY	l IH b ER AH l IY	elision	l	degemination
limber	limb	er	l IH m ER	l IH m b ER	insertion	b	
linger	ling	er	l IH NG ER	l IH NG g ER	insertion	g	
literally	literal	ly	l IH t ER AH l l IY	l IH t ER AH l IY	elision	l	degemination
locally	local	ly	l OW k AH l l IY	l OW k AH l IY	elision	l	degemination
longer	long	er	l AO NG ER	l AO NG g ER	insertion	g	
longest	long	est	l AO NG AH s t	l AO NG g AH s t	insertion	g	
loosing	loos	ing	l UW z IH NG	l UW s IH NG	mutation	s	voicing-sz
magically	magical	ly	m AE JH IH k AH l l IY	m AE JH IH k AH l IY	elision	l	degemination
maliciously	malicious	ly	m AH l IH SH AH s l IY	m AH l IH SH IH s l IY	mutation	IH	
manually	manual	ly	m AE n j UW AH l l IY	m AE n j UW AH l IY	elision	l	degemination
marginally	marginal	ly	m AA r JH AH n AH l l IY	m AA r JH AH n AH l IY	elision	l	degemination
mariner	marin	er	m EH r IH n ER	m EH r AH n ER	mutation	AH	
materially	material	ly	m AH t IH r IY AH l l IY	m AH t IH r IY AH l IY	elision	l	degemination
mathematically	mathematical	ly	m AE TH AH m AE t IH k AH l l IY	m AE TH AH m AE t IH k AH l IY	elision	l	degemination
mentally	mental	ly	m EH n t AH l l IY	m EH n t AH l IY	elision	l	degemination
mercifully	merciful	ly	m ER s IH f AH l l IY	m ER s IH f AH l IY	elision	l	degemination
mindedly	minded	ly	m AY n d AH d l IY	m AY n d IH d l IY	mutation	IH	
mindedness	minded	ness	m AY n d AH d n AH s	m AY n d IH d n AH s	mutation	IH	
moderating	moderate	ing	m AA d ER AH t IH NG	m AA d ER EY t IH NG	mutation	EY	
morally	moral	ly	m AO r AH l l IY	m AO r AH l IY	elision	l	degemination
mortally	mortal	ly	m AO r t AH l l IY	m AO r t AH l IY	elision	l	degemination
